message,label
"I think that tantrum's finished so yeah I'll be by at some point
",benign
"Got it! It looks scrumptious... daddy wants to eat you all night long!
",benign
"i dnt wnt to tlk wid u
",benign
"Boooo you always work. Just quit.
",benign
"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?
",benign
"Sorry, I'll call later
",benign
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
",malicious
"Hi Princess! Thank you for the pics. You are very pretty. How are you?
",benign
"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!
",malicious
"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.
",benign
"Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
",benign
"Ho ho - big belly laugh! See ya tomo
",benign
"I to am looking forward to all the sex cuddling.. Only two more sleeps 
",benign
"U 2.
",benign
"YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
",malicious
"WOT U WANNA DO THEN MISSY?
",benign
"Nvm take ur time.
",benign
"Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.
",benign
"I'm really not up to it still tonight babe
",benign
"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
",benign
"Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
",benign
"I'm in a meeting, call me later at
",benign
"Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
",benign
"Ok
",benign
"U dun say so early hor... U c already then say...
",benign
"Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am
",benign
"He also knows about lunch menu only da. . I know
",benign
"Please ask mummy to call father
",benign
"Shall i start from hear.
",benign
"Come round, it's . 
",benign
"I accidentally deleted the message. Resend please.
",benign
"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU
",malicious
"Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
",benign
"Lol they don't know about my awesome phone. I could click delete right now if I want.
",benign
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.
",benign
"I hope you know I'm still mad at you.
",benign
"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com
",benign
"Dont let studying stress you out. L8r.
",benign
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy
",benign
"I can. But it will tell quite long, cos i haven't finish my film yet...
",benign
"Oh all have to come ah?
",benign
"Not from this campus. Are you in the library?
",benign
"Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
",benign
"What's a feathery bowa? Is that something guys have that I don't know about?
",benign
"Yar... I tot u knew dis would happen long ago already.
",benign
"I'm job profile seems like bpo..
",benign
"Yeah that's the impression I got
",benign
"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. 
",benign
"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea
",benign
"Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
",benign
"aight we can pick some up, you open before tonight?
",benign
"Ü still attending da talks?
",benign
"Tmr timin still da same wat cos i got lesson until 6...
",benign
"Mmmm.... I cant wait to lick it!
",benign
"Were gonna go get some tacos
",benign
"""NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT""
",benign
"Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
",benign
"Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
",benign
"Hey babe! I saw you came online for a second and then you disappeared, what happened ?
",benign
"Not much, just some textin'. How bout you?
",benign
"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng...
",benign
"As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
",malicious
"yay! finally lol. i missed our cinema trip last week :-(
",benign
"A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611
",malicious
"Let me know when you've got the money so carlos can make the call
",benign
"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea
",benign
"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921
",malicious
"Wait  &lt;#&gt;  min..
",benign
"You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
",benign
"I'm still looking for a car to buy. And have not gone 4the driving test yet.
",benign
"Captain is in our room:)
",benign
"All will come alive.better correct any good looking figure there itself..
",benign
"Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
",benign
"You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
",benign
"I dun believe u. I thk u told him.
",benign
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode
",malicious
"You bad girl. I can still remember them
",benign
"that would be good … I'll phone you tomo lunchtime, shall I, to organise something?
",benign
"Bring it if you got it
",benign
"Then i buy.
",benign
"Yup i thk so until e shop closes lor.
",benign
"Ü eatin later but i'm eatin wif my frens now lei... Ü going home first? 
",benign
"Oh ok.. Wat's ur email?
",benign
"WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
",malicious
"No. I dont want to hear anything
",benign
"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.
",benign
"So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
",benign
"I will once i get home
",benign
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P
",malicious
"Well. Balls. Time to make calls
",benign
"Are u awake? Is there snow there?
",benign
"Customer place i will call you
",benign
"Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
",benign
"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.
",benign
"Sorry, I'll call later
",benign
"Havent.
",benign
"""SYMPTOMS"" when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your
",benign
"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)
",benign
"Do have a nice day today. I love you so dearly.
",benign
"Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
",benign
"Anything lor if they all go then i go lor...
",benign
"We don call like  &lt;#&gt;  times oh. No give us hypertension oh.
",benign
"Dip's cell dead. So i m coming with him. U better respond else we shall come back.
",benign
"Wife.how she knew the time of murder exactly
",benign
"Have your lunch and come quickly and open the door:)
",benign
"Did u see what I posted on your Facebook?
",benign
"Ok ill tell the company
",benign
"Yeah confirmed for you staying at  that weekend
",benign
"Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
",benign
"Oh k. . I will come tomorrow
",benign
"You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
",malicious
"Nt yet chikku..simple habba..hw abt u?
",benign
"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call
",malicious
"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins
",malicious
"Sorry, I'll call later
",benign
"Aight ill get on fb in a couple minutes
",benign
"Hmm well, night night 
",benign
"Hey whats up? U sleeping all morning?
",benign
"I told your number to gautham..
",benign
"74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC
",malicious
"I'm ok. Will do my part tomorrow
",benign
"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!
",malicious
"If you were/are free i can give. Otherwise nalla adi entey nattil kittum
",benign
"Hey company elama po mudyadhu.
",benign
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
",benign
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.
",benign
"happened here while you were adventuring
",benign
"Gumby's has a special where a  &lt;#&gt; "" cheese pizza is $2 so I know what we're doin tonight
",benign
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
",benign
"Hey i will be late... i'm at amk. Need to drink tea or coffee
",benign
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop
",malicious
"That's fine, I'll bitch at you about it later then
",benign
"Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com
",malicious
"Sorry, I'll call later
",benign
"Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.
",benign
"Yeah that's what I thought, lemme know if anything's goin on later
",benign
"I was just callin to say hi. Take care bruv!
",benign
"Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
",benign
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?
",benign
"Hey, iouri gave me your number, I'm wylie, ryan's friend
",benign
"Nvm it's ok...
",benign
"Ok da, i already planned. I wil pick you.
",benign
"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago
",benign
"when you and derek done with class?
",benign
"Ay wana meet on sat?ü wkg on sat?
",benign
"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!
",benign
"Ü got wat to buy tell us then ü no need to come in again.
",benign
"K I'll be sure to get up before noon and see what's what
",benign
"ARE YOU IN TOWN? THIS IS V. IMPORTANT
",benign
"Not yet chikku..wat abt u?
",benign
"Ya even those cookies have jelly on them
",benign
"No problem baby. Is this is a good time to talk? I called and left a message.
",benign
"Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
",malicious
"I'm in solihull, | do you want anything?
",benign
"What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
",benign
"K..k..i'm also fine:)when will you complete the course?
",benign
"Hello madam how are you ?
",benign
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!
",benign
"Call me when u finish then i come n pick u.
",benign
"lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
",malicious
"I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that
",benign
"Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
",malicious
"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND
",benign
"Dont know supports ass and srt i thnk. I think ps3 can play through usb too
",benign
"Can come my room but cannot come my house cos my house still messy... Haha...
",benign
"Greetings me, ! Consider yourself excused.
",benign
"K, can I pick up another 8th when you're done?
",benign
"Good morning. At the repair shop--the ONLY reason i'm up at this hour.
",benign
"That's significant but dont worry.
",benign
"URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
",malicious
"Wat happened to the cruise thing
",benign
"Alright took the morphine. Back in yo.
",benign
"Also where's the piece
",benign
"""Response"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care
",benign
"Sac will score big hundred.he is set batsman:-)
",benign
"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?
",benign
"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.
",benign
"Dad says hurry the hell up
",benign
"In fact when do you leave? I think addie goes back to school tues or wed
",benign
"Sorry, I'll call you  later. I am in meeting sir.
",benign
"I tot u reach liao. He said t-shirt.
",benign
"Package all your programs well
",benign
"K..k.:)congratulation ..
",benign
"Welp apparently he retired
",benign
"K:)all the best:)congrats...
",benign
"U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
",benign
"Ofcourse I also upload some songs
",benign
"No need for the drug anymore.
",benign
"Can you plz tell me the ans. BSLVYL sent via fullonsms.com
",benign
"How are you. Wish you a great semester
",benign
"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit
",benign
"I wait 4 ü inside da car park...
",benign
"Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.
",benign
"CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES
",benign
"Awesome, lemme know whenever you're around
",benign
"Well there's still a bit left if you guys want to tonight
",benign
"Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow
",malicious
"Wot about on wed nite I am 3 then but only til 9!
",benign
"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs £1.50 each
",malicious
"Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
",benign
"She.s find. I sent you an offline message to know how anjola's now.
",benign
"Dare i ask... Any luck with sorting out the car?
",benign
"Stop knowing me so well!
",benign
"How many times i told in the stage all use to laugh. You not listen aha.
",benign
"Jay says that you're a double-faggot
",benign
"Ok i shall talk to him
",benign
"We will meet soon princess! Ttyl!
",benign
"Sorry,in meeting I'll call later
",benign
"K, wat s tht incident?
",benign
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468
",malicious
"What * u wearing?
",benign
", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, 
",benign
"HMM yeah if your not too grooved out! And im looking forward to my pound special :)
",benign
"How are you. Just checking up on you
",benign
"Yar lor... How u noe? U used dat route too?
",benign
"Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair. 
",benign
"Thank you baby! I cant wait to taste the real thing...
",benign
"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
",benign
"He needs to stop going to bed and make with the fucking dealing
",benign
"U so lousy, run already come back then half dead... Hee...
",benign
"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
",malicious
"For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;
",benign
"That sucks. I'll go over so u can do my hair. You'll do it free right?
",benign
"Thanks, I'll keep that in mind
",benign
"Huh? 6 also cannot? Then only how many mistakes?
",benign
"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?
",benign
"WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
",malicious
"Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.
",benign
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,
",benign
"""Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!""
",benign
"I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
",benign
"Dear, will call Tmorrow.pls accomodate.
",benign
"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.
",benign
"I wont do anything de.
",benign
"How r ü going to send it to me?
",benign
"I will spoil you in bed as well :)
",benign
"K. I will sent it again
",benign
"Thank You meet you monday
",benign
" &lt;#&gt;  in mca. But not conform.
",benign
"Which channel:-):-):):-).
",benign
"Dont you have message offer
",benign
"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.
",benign
"Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
",benign
"But i'll b going 2 sch on mon. My sis need 2 take smth.
",benign
"Okie...
",benign
"But i dint slept in afternoon.
",benign
"Aiyo please ü got time meh.
",benign
"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!
",benign
"Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
",malicious
"So what about you. What do you remember
",benign
"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
",malicious
"Ok I'm gonna head up to usf in like fifteen minutes
",benign
"I jokin oni lar.. Ü busy then i wun disturb ü.
",benign
"How are you doing. How's the queen. Are you going for the royal wedding
",benign
"Ya, told..she was asking wats matter?
",benign
"ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
",benign
"No. I.ll meet you in the library
",benign
"Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
",malicious
"Ill call you evening ill some ideas.
",benign
"great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
",benign
"Have a nice day my dear.
",benign
"There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.
",benign
"FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk
",malicious
"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem
",benign
"1 in cbe. 2 in chennai.
",benign
"Yup n her fren lor. I'm meeting my fren at 730.
",benign
"Dont pick up d call when something important is There to tell. Hrishi
",benign
"Have you had a good day? Mine was really busy are you up to much tomorrow night?
",benign
"I know that my friend already told that.
",benign
"Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks
",benign
"But i'm really really broke oh. No amount is too small even  &lt;#&gt; 
",benign
"Dunno he jus say go lido. Same time 930.
",benign
"Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
",benign
"Is fujitsu s series lifebook good?
",benign
"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..
",benign
"They can try! They can get lost, in fact. Tee hee
",benign
"Sorry i missed your call. Can you please call back.
",benign
"If I was I wasn't paying attention
",benign
"Love you aathi..love u lot..
",benign
"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.
",benign
"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)
",benign
"I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
",benign
"Hi this is yijue, can i meet u at 11 tmr?
",benign
"I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.
",benign
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
",malicious
"You will go to walmart. I.ll stay.
",benign
"Me also da, i feel yesterday night  wait til 2day night dear.
",benign
"10 min later k...
",benign
"No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
",benign
"Sir, I am waiting for your mail.
",benign
"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...
",benign
"alright, I'll make sure the car is back tonight
",benign
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call
",malicious
"U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
",malicious
"We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
",malicious
"Not able to do anything.
",benign
"Those were my exact intentions
",benign
"Tell me something. Thats okay.
",benign
"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50
",malicious
"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm
",malicious
"Was actually about to send you a reminder today. Have a wonderful weekend
",benign
"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order
",benign
"K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
",benign
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!
",benign
"Hey i've booked the 2 lessons on sun liao...
",benign
"Aight do you still want to get money
",benign
"Stupid.its not possible
",benign
"Roger that. We‘re probably going to rem in about 20
",benign
"Sorry, I'll call later in meeting.
",benign
"But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.
",benign
"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with
",benign
"Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
",malicious
"Then u going ikea str aft dat?
",benign
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU
",malicious
"Thanks for looking out for me. I really appreciate.
",benign
"Ok
",benign
"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
",benign
"Have a good evening! Ttyl
",benign
"""ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.""
",benign
"Ok..
",benign
"Home so we can always chat
",benign
"Dun need to use dial up juz open da browser n surf...
",benign
"Babe, I need your advice
",benign
"Oh ya ya. I remember da. .
",benign
"I will come tomorrow di
",benign
"Yunny... I'm goin to be late
",benign
"Wait 2 min..stand at bus stop
",benign
"Yup...
",benign
"somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
",benign
"Ok no problem... Yup i'm going to sch at 4 if i rem correctly...
",benign
"URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
",malicious
"on a Tuesday night r u 4 real
",benign
"Hasn't that been the pattern recently crap weekends?
",benign
"Yes, princess. Are you going to make me moan?
",benign
"Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max 
",malicious
"She doesnt need any test.
",benign
"Pls call me da. What happen.
",benign
"Love it! I want to flood that pretty pussy with cum...
",benign
"I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
",benign
"Sorry, I can't text &amp; drive coherently, see you in twenty
",benign
"For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.
",benign
"He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
",benign
"Sorry, I'll call later
",benign
"Yeah, probably earlier than that
",benign
"Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
",malicious
"Okay same with me. Well thanks for the clarification
",benign
"Dude u knw also telugu..thts gud..k, gud nyt..
",benign
"I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
",benign
"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnt make ur bday 2 hun!
",benign
"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
",malicious
